AP_CONTRACT_REF,AP_USER_ID,AP_PRODUCT_CODE,AP_START_DATE,AP_END_DATE,AP_MONTHLY_PREMIUM,AP_CONTRACT_STATE,AP_BROKER_CODE
AP-000001,1,AUTO_BASIC,2024-04-16,2025-04-16,154.8,SUSPENDED,BRK-431
AP-000002,1,ASSIST_PREMIUM,2023-06-06,2024-06-05,230.45,TERMINATED,BRK-150
AP-000003,1,ASSIST_BASIC,2026-07-16,2027-07-16,80.05,SUSPENDED,BRK-354
AP-000004,2,AUTO_BASIC,2023-12-29,2024-12-28,176.77,TERMINATED,BRK-928
AP-000005,2,ASSIST_PREMIUM,2026-01-16,2027-01-16,111.75,ACTIVE,BRK-078
AP-000006,3,AUTO_PREMIUM,2025-07-16,2026-07-16,237.84,TERMINATED,BRK-333
AP-000007,3,AUTO_PREMIUM,2025-04-12,2026-04-12,66.64,SUSPENDED,BRK-898
AP-000008,4,AUTO_BASIC,2023-02-14,2024-02-14,21.52,TERMINATED,BRK-751
AP-000009,4,AUTO_PREMIUM,2024-12-29,2025-12-29,111.51,ACTIVE,BRK-637
AP-000010,4,ASSIST_BASIC,2024-01-01,2024-12-31,244.6,TERMINATED,BRK-292
AP-000011,5,ASSIST_PREMIUM,2023-04-23,2024-04-22,43.17,SUSPENDED,BRK-075
AP-000012,5,ASSIST_PREMIUM,2023-12-03,2024-12-02,240.46,TERMINATED,BRK-666
AP-000013,5,AUTO_PREMIUM,2026-01-02,2027-01-02,185.79,SUSPENDED,BRK-902
AP-000014,6,ASSIST_PREMIUM,2025-10-23,2026-10-23,248.98,TERMINATED,BRK-996
AP-000015,6,ASSIST_PREMIUM,2023-01-13,2024-01-13,42.15,TERMINATED,BRK-637
AP-000016,6,AUTO_PREMIUM,2023-05-01,2024-04-30,152.46,TERMINATED,BRK-412
AP-000017,7,ASSIST_BASIC,2024-03-14,2025-03-14,165.19,ACTIVE,BRK-970
AP-000018,7,AUTO_BASIC,2025-08-17,2026-08-17,62.29,ACTIVE,BRK-481
AP-000019,10,AUTO_BASIC,2023-08-17,2024-08-16,195.95,ACTIVE,BRK-566
AP-000020,10,ASSIST_PREMIUM,2025-04-12,2026-04-12,76.9,TERMINATED,BRK-286
AP-000021,10,ASSIST_PREMIUM,2022-11-05,2023-11-05,102.07,TERMINATED,BRK-632
AP-000022,11,ASSIST_PREMIUM,2023-08-18,2024-08-17,167.15,TERMINATED,BRK-729
AP-000023,11,ASSIST_PREMIUM,2024-04-02,2025-04-02,79.76,ACTIVE,BRK-938
AP-000024,11,AUTO_PREMIUM,2026-07-11,2027-07-11,146.09,TERMINATED,BRK-169
AP-000025,12,AUTO_PREMIUM,2025-02-02,2026-02-02,38.22,SUSPENDED,BRK-977
AP-000026,14,ASSIST_BASIC,2025-10-19,2026-10-19,86.61,SUSPENDED,BRK-754
AP-000027,15,AUTO_BASIC,2025-11-11,2026-11-11,184.5,ACTIVE,BRK-967
AP-000028,15,AUTO_BASIC,2025-01-26,2026-01-26,198.4,SUSPENDED,BRK-160
AP-000029,16,ASSIST_BASIC,2024-05-28,2025-05-28,197.38,ACTIVE,BRK-484
AP-000030,18,ASSIST_PREMIUM,2023-11-30,2024-11-29,109.5,TERMINATED,BRK-376
AP-000031,19,AUTO_BASIC,2023-01-06,2024-01-06,119.86,ACTIVE,BRK-185
AP-000032,20,AUTO_PREMIUM,2024-06-25,2025-06-25,197.28,ACTIVE,BRK-807
AP-000033,21,ASSIST_PREMIUM,2025-04-05,2026-04-05,92.85,TERMINATED,BRK-360
AP-000034,21,ASSIST_PREMIUM,2024-07-22,2025-07-22,186.61,ACTIVE,BRK-412
AP-000035,21,ASSIST_BASIC,2023-07-08,2024-07-07,99.96,TERMINATED,BRK-771
AP-000036,22,ASSIST_BASIC,2026-07-24,2027-07-24,198.46,SUSPENDED,BRK-727
AP-000037,22,ASSIST_BASIC,2024-05-23,2025-05-23,63.67,SUSPENDED,BRK-209
AP-000038,22,ASSIST_BASIC,2026-01-04,2027-01-04,27.32,SUSPENDED,BRK-104
AP-000039,23,AUTO_BASIC,2022-11-21,2023-11-21,133.02,TERMINATED,BRK-083
AP-000040,24,AUTO_BASIC,2024-06-30,2025-06-30,202.68,SUSPENDED,BRK-081
AP-000041,24,AUTO_PREMIUM,2024-11-10,2025-11-10,37.93,SUSPENDED,BRK-470
AP-000042,24,ASSIST_BASIC,2024-07-22,2025-07-22,175.13,ACTIVE,BRK-310
AP-000043,25,AUTO_PREMIUM,2023-02-25,2024-02-25,75.37,TERMINATED,BRK-131
AP-000044,25,ASSIST_PREMIUM,2025-10-22,2026-10-22,248.48,ACTIVE,BRK-681
AP-000045,26,AUTO_PREMIUM,2023-06-18,2024-06-17,137.59,ACTIVE,BRK-839
AP-000046,26,ASSIST_BASIC,2026-02-17,2027-02-17,186.42,ACTIVE,BRK-315
AP-000047,27,ASSIST_BASIC,2024-08-12,2025-08-12,222.35,TERMINATED,BRK-063
AP-000048,27,AUTO_BASIC,2022-11-27,2023-11-27,215.38,SUSPENDED,BRK-314
AP-000049,28,AUTO_PREMIUM,2023-10-01,2024-09-30,180.49,ACTIVE,BRK-136
AP-000050,28,ASSIST_PREMIUM,2024-05-09,2025-05-09,54.04,ACTIVE,BRK-892
AP-000051,29,AUTO_PREMIUM,2023-10-30,2024-10-29,110.92,SUSPENDED,BRK-257
AP-000052,30,AUTO_PREMIUM,2024-03-10,2025-03-10,104.01,TERMINATED,BRK-683
AP-000053,30,AUTO_BASIC,2022-09-21,2023-09-21,105.98,ACTIVE,BRK-363
AP-000054,30,AUTO_BASIC,2024-08-21,2025-08-21,179.57,TERMINATED,BRK-025
AP-000055,31,ASSIST_PREMIUM,2025-06-03,2026-06-03,145.68,SUSPENDED,BRK-432
AP-000056,33,ASSIST_PREMIUM,2025-06-09,2026-06-09,201.51,ACTIVE,BRK-245
AP-000057,33,ASSIST_PREMIUM,2022-11-11,2023-11-11,82.4,ACTIVE,BRK-864
AP-000058,34,AUTO_BASIC,2023-06-03,2024-06-02,233.06,ACTIVE,BRK-533
AP-000059,34,AUTO_PREMIUM,2024-07-28,2025-07-28,163.8,SUSPENDED,BRK-339
AP-000060,34,AUTO_BASIC,2024-05-24,2025-05-24,224.79,SUSPENDED,BRK-685
AP-000061,35,AUTO_PREMIUM,2026-01-27,2027-01-27,187.87,TERMINATED,BRK-017
AP-000062,36,AUTO_PREMIUM,2024-02-26,2025-02-25,249.01,SUSPENDED,BRK-983
AP-000063,38,AUTO_PREMIUM,2024-10-13,2025-10-13,213.09,SUSPENDED,BRK-167
AP-000064,39,AUTO_BASIC,2023-03-22,2024-03-21,73.4,TERMINATED,BRK-934
AP-000065,40,ASSIST_BASIC,2025-06-25,2026-06-25,72.04,ACTIVE,BRK-156
AP-000066,41,ASSIST_BASIC,2022-09-16,2023-09-16,94.73,ACTIVE,BRK-689
AP-000067,41,ASSIST_BASIC,2024-06-06,2025-06-06,185.65,SUSPENDED,BRK-627
AP-000068,41,AUTO_PREMIUM,2026-04-30,2027-04-30,221.89,SUSPENDED,BRK-982
AP-000069,42,AUTO_BASIC,2025-08-19,2026-08-19,117.17,SUSPENDED,BRK-746
AP-000070,42,AUTO_PREMIUM,2023-10-04,2024-10-03,46.03,TERMINATED,BRK-715
AP-000071,42,AUTO_PREMIUM,2025-02-28,2026-02-28,94.54,SUSPENDED,BRK-300
AP-000072,43,ASSIST_BASIC,2023-01-04,2024-01-04,103.48,SUSPENDED,BRK-576
AP-000073,43,AUTO_PREMIUM,2025-09-21,2026-09-21,57.29,ACTIVE,BRK-749
AP-000074,43,ASSIST_BASIC,2024-10-30,2025-10-30,187.94,TERMINATED,BRK-601
AP-000075,45,ASSIST_BASIC,2026-06-30,2027-06-30,125.49,SUSPENDED,BRK-923
AP-000076,45,AUTO_PREMIUM,2023-03-12,2024-03-11,158.02,SUSPENDED,BRK-506
