AP_PAYMENT_REF,AP_CONTRACT_REF,AP_PAYMENT_DATETIME,AP_AMOUNT_PAID,AP_PAYMENT_CHANNEL,AP_TRANSACTION_STATUS
3e2e29f8-d43b-4266-b414-dfa1e16daca3,AP-000001,2024-10-17 05:16:36,154.8,DIRECT_DEBIT,PENDING
498c64de-5105-44d9-b5d8-eab5108a4464,AP-000002,2025-10-01 05:19:37,230.45,CARD,FAILED
5b0c16eb-3c7b-4f99-83df-c7790cceb5b5,AP-000002,2024-04-12 03:58:16,230.45,CARD,PENDING
eb4b5aa2-1dcc-402d-8717-5de70ff30491,AP-000002,2024-11-05 11:23:39,230.45,BANK_TRANSFER,FAILED
1d0cdd94-df84-4a2a-8464-beb72d01654e,AP-000003,2026-08-21 04:14:02,80.05,BANK_TRANSFER,FAILED
958d790c-669d-4083-ba56-44d9674b09c0,AP-000003,2026-08-22 07:20:50,80.05,DIRECT_DEBIT,PENDING
ec3dbfab-d421-447e-a187-41376e183512,AP-000003,2026-08-18 04:22:51,80.05,DIRECT_DEBIT,PENDING
2166f530-d241-4a43-9c36-46e3cf392e5c,AP-000003,2026-07-29 07:46:27,80.05,BANK_TRANSFER,FAILED
23dfbbe2-d7c4-4399-b357-bfb189ee7c5a,AP-000003,2026-07-25 06:06:52,80.05,BANK_TRANSFER,SUCCESS
7536deaf-8e8f-4f24-b474-71ab76da4198,AP-000004,2025-06-19 11:23:27,176.77,BANK_TRANSFER,FAILED
a2dd6874-d84c-4fc3-85af-c2d91ea7fc8a,AP-000004,2025-09-16 07:10:13,176.77,DIRECT_DEBIT,SUCCESS
a3e4fb47-7a4c-4114-8f22-b8367a296154,AP-000004,2025-09-19 07:46:21,176.77,DIRECT_DEBIT,PENDING
46fec8da-a5a9-4079-bdfc-ed08069abbf5,AP-000004,2026-06-16 22:14:38,176.77,CARD,PENDING
4542a245-7faf-4f0a-9fee-918c1f3015be,AP-000005,2026-03-14 23:24:03,111.75,BANK_TRANSFER,PENDING
2337fd36-a1b7-4cd2-832a-3174b123769a,AP-000005,2026-06-19 09:01:04,111.75,BANK_TRANSFER,SUCCESS
019ddf6c-dad6-4141-a08f-bfdb44523b78,AP-000006,2026-07-19 12:10:12,237.84,DIRECT_DEBIT,SUCCESS
d53d57ef-0d4c-4947-b795-6a70488068ac,AP-000006,2026-01-13 12:54:57,237.84,BANK_TRANSFER,SUCCESS
0c458137-0b7b-4d3a-b998-3d3c6d997cb0,AP-000007,2026-04-11 01:54:56,66.64,CARD,SUCCESS
c15523e4-2c54-4de1-bae4-a49a85250dde,AP-000008,2024-06-14 08:16:32,21.52,BANK_TRANSFER,FAILED
99536904-6612-4348-b3df-5376a9697010,AP-000008,2023-12-02 19:25:37,21.52,BANK_TRANSFER,PENDING
e64aac9c-87b3-43b1-96f5-3b8fe55d4bc8,AP-000008,2024-12-11 02:33:38,21.52,CARD,FAILED
95ad5fc6-6e8b-436f-aded-9f3eab3466d7,AP-000009,2025-12-13 12:05:05,111.51,BANK_TRANSFER,FAILED
6a398b38-8713-4a56-b2a4-7f0f97bd1236,AP-000009,2026-03-07 18:12:11,111.51,CARD,FAILED
c5882f4f-3578-4068-81ed-91a39b70cfdd,AP-000009,2025-01-21 09:10:50,111.51,BANK_TRANSFER,PENDING
439550cc-4790-4d88-b92a-f8953cd66b3f,AP-000009,2025-10-16 00:55:02,111.51,DIRECT_DEBIT,SUCCESS
6148ef18-a963-4902-8648-02a121581d64,AP-000010,2025-04-19 16:32:50,244.6,DIRECT_DEBIT,SUCCESS
12633007-c4e1-402a-8d64-4041925e38b5,AP-000011,2024-10-01 21:29:29,43.17,DIRECT_DEBIT,PENDING
c02cc831-0c2b-404f-ad7b-4a3428d28029,AP-000011,2024-04-07 06:54:01,43.17,CARD,PENDING
5859e140-b911-46aa-a8dd-6e73a476ca2b,AP-000012,2025-03-12 11:17:05,240.46,BANK_TRANSFER,PENDING
3b44aced-b9e0-4c72-af84-46a87c17d1eb,AP-000012,2025-04-22 13:07:31,240.46,CARD,FAILED
afe7409c-4887-455e-90af-f0a0180e1f19,AP-000012,2026-06-01 19:16:18,240.46,CARD,FAILED
86c80a7e-d482-48c8-bcdc-9be79a611a3d,AP-000012,2024-01-08 02:26:38,240.46,DIRECT_DEBIT,SUCCESS
295eae1d-683e-4436-adeb-0a18f5131af6,AP-000013,2026-03-02 16:30:22,185.79,CARD,SUCCESS
687ec9f7-7625-4c32-bdc7-b36ecda7631e,AP-000013,2026-05-10 06:09:28,185.79,DIRECT_DEBIT,SUCCESS
0fb5628d-dc8e-4beb-961c-20f00d6e3be4,AP-000013,2026-08-10 15:55:22,185.79,BANK_TRANSFER,SUCCESS
d439d6d7-9a36-4fa7-ac21-08f6fe6f9172,AP-000013,2026-08-24 04:23:35,185.79,CARD,PENDING
2603a696-0302-4518-9f54-44792b18e6d6,AP-000014,2026-03-20 02:08:47,248.98,DIRECT_DEBIT,SUCCESS
f4e772c1-c3e1-424b-8732-5615922701ad,AP-000014,2026-01-10 07:19:29,248.98,BANK_TRANSFER,SUCCESS
812b70f7-6e19-41c2-9247-919f8c237fe3,AP-000014,2026-03-23 16:59:34,248.98,DIRECT_DEBIT,SUCCESS
